IP:PORT, LOSS, DELAY
188.114.99.249:908,0.00%,117 ms
188.114.96.240:908,0.00%,117 ms
188.114.99.179:894,0.00%,120 ms
188.114.97.29:908,0.00%,121 ms
162.159.195.76:894,0.00%,121 ms
188.114.97.174:908,0.00%,122 ms
188.114.98.17:894,0.00%,122 ms
188.114.99.216:894,0.00%,126 ms
188.114.98.31:908,0.00%,128 ms
188.114.98.203:908,0.00%,128 ms
188.114.96.78:894,0.00%,129 ms
162.159.192.231:894,0.00%,130 ms
188.114.97.206:894,0.00%,130 ms
188.114.97.170:908,0.00%,131 ms
162.159.195.187:894,0.00%,131 ms
188.114.96.50:894,0.00%,131 ms
188.114.96.128:908,0.00%,132 ms
188.114.99.182:908,0.00%,132 ms
188.114.96.221:894,0.00%,132 ms
162.159.192.101:894,0.00%,132 ms
188.114.97.192:894,0.00%,132 ms
162.159.192.81:894,0.00%,132 ms
188.114.96.128:894,0.00%,132 ms
188.114.97.230:908,0.00%,132 ms
188.114.98.201:894,0.00%,132 ms
188.114.98.17:908,0.00%,133 ms
162.159.195.239:908,0.00%,133 ms
188.114.96.199:894,0.00%,133 ms
162.159.195.76:908,0.00%,133 ms
188.114.96.225:908,0.00%,133 ms
188.114.96.240:894,0.00%,134 ms
188.114.99.123:894,0.00%,134 ms
162.159.192.64:908,0.00%,135 ms
188.114.96.50:908,0.00%,135 ms
188.114.96.229:894,0.00%,135 ms
188.114.96.225:894,0.00%,135 ms
162.159.195.195:908,0.00%,135 ms
188.114.98.183:908,0.00%,135 ms
162.159.192.48:908,0.00%,135 ms
188.114.97.185:908,0.00%,135 ms
188.114.96.221:908,0.00%,135 ms
162.159.192.43:908,0.00%,136 ms
188.114.99.156:894,0.00%,137 ms
188.114.98.183:894,0.00%,138 ms
162.159.195.146:908,0.00%,138 ms
162.159.192.130:908,0.00%,144 ms
162.159.195.37:908,0.00%,157 ms
162.159.195.239:894,10.00%,205 ms
188.114.98.90:894,10.00%,205 ms
188.114.97.174:894,10.00%,208 ms
162.159.192.43:894,10.00%,208 ms
188.114.97.228:894,10.00%,209 ms
188.114.99.71:894,10.00%,209 ms
188.114.98.203:894,10.00%,211 ms
188.114.99.71:908,10.00%,211 ms
162.159.192.177:894,10.00%,213 ms
188.114.99.199:894,10.00%,214 ms
188.114.99.199:908,10.00%,216 ms
162.159.192.231:908,10.00%,217 ms
162.159.192.122:908,10.00%,218 ms
188.114.97.185:894,10.00%,218 ms
188.114.98.201:908,10.00%,219 ms
188.114.97.88:908,10.00%,220 ms
188.114.98.50:908,10.00%,221 ms
188.114.97.206:908,10.00%,222 ms
188.114.97.244:894,10.00%,227 ms
162.159.195.162:908,10.00%,228 ms
188.114.96.199:908,20.00%,288 ms
162.159.195.146:894,20.00%,293 ms
188.114.99.216:908,20.00%,295 ms
162.159.195.141:908,20.00%,296 ms
188.114.96.220:908,20.00%,297 ms
188.114.97.145:894,20.00%,298 ms
188.114.96.78:908,20.00%,298 ms
188.114.97.192:908,20.00%,299 ms
188.114.98.66:894,20.00%,300 ms
188.114.97.88:894,20.00%,300 ms
162.159.192.122:894,20.00%,300 ms
188.114.99.13:894,20.00%,300 ms
188.114.99.13:908,20.00%,300 ms
188.114.99.182:894,20.00%,301 ms
162.159.192.81:908,20.00%,301 ms
188.114.98.31:894,20.00%,301 ms
162.159.192.64:894,20.00%,302 ms
162.159.195.80:894,20.00%,302 ms
188.114.97.194:894,20.00%,302 ms
188.114.96.252:894,20.00%,302 ms
162.159.195.187:908,20.00%,303 ms
188.114.97.244:908,20.00%,303 ms
162.159.192.48:894,20.00%,303 ms
188.114.99.249:894,20.00%,304 ms
162.159.192.158:908,20.00%,304 ms
162.159.195.195:894,20.00%,305 ms
188.114.97.228:908,30.00%,384 ms
162.159.192.130:894,30.00%,384 ms
188.114.98.59:908,30.00%,386 ms
188.114.99.156:908,30.00%,386 ms
188.114.98.50:894,30.00%,386 ms
188.114.98.90:908,30.00%,386 ms
188.114.96.229:908,30.00%,387 ms
162.159.192.101:908,30.00%,388 ms
188.114.97.12:894,30.00%,388 ms
188.114.97.230:894,30.00%,389 ms
162.159.195.162:894,30.00%,390 ms
188.114.98.66:908,30.00%,390 ms
162.159.195.37:894,30.00%,390 ms
188.114.97.29:894,30.00%,391 ms
162.159.192.177:908,30.00%,392 ms
188.114.96.220:894,30.00%,392 ms
188.114.97.170:894,30.00%,392 ms
188.114.97.194:908,30.00%,399 ms
188.114.97.12:908,30.00%,401 ms
188.114.96.18:894,30.00%,401 ms
188.114.99.220:908,40.00%,466 ms
188.114.99.123:908,40.00%,472 ms
188.114.99.215:894,40.00%,473 ms
188.114.98.202:908,40.00%,473 ms
188.114.98.202:894,40.00%,480 ms
162.159.192.82:894,50.00%,556 ms
188.114.99.100:908,50.00%,558 ms
188.114.98.179:908,50.00%,558 ms
162.159.195.11:894,50.00%,559 ms
188.114.99.179:908,50.00%,559 ms
188.114.96.105:894,50.00%,559 ms
188.114.99.220:894,50.00%,561 ms
188.114.96.36:894,50.00%,561 ms
162.159.192.24:894,50.00%,561 ms
188.114.96.156:908,50.00%,562 ms
162.159.192.99:908,50.00%,562 ms
162.159.195.80:908,50.00%,562 ms
188.114.99.138:894,50.00%,562 ms
188.114.98.59:894,50.00%,562 ms
162.159.195.34:894,50.00%,562 ms
162.159.192.87:908,50.00%,563 ms
162.159.195.240:908,50.00%,563 ms
188.114.99.138:908,50.00%,563 ms
162.159.192.240:894,50.00%,564 ms
162.159.195.141:894,50.00%,564 ms
188.114.96.18:908,50.00%,564 ms
162.159.195.223:908,50.00%,564 ms
